genus,species,age_maturity_days_female_reference,age_maturity_days_male_reference,logic_source_for_dispersal_distance,source_for_maximum_body_size,average_body_size_female_reference,average_body_size_male_reference,logic_source_for_season_inactive,source_logic_for_migration_info,logic_source_season_when_away,logic.source_for_Home.range.size,lifespan_days_reference
Cottus,bairdii,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Meyers et al., 2015","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Breen et al., 2009","IUCN, 2020",,"Meyers et al., 2015","Froese & Pauly, 2000"
Cottus,carolinae,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Wells et al., 2017","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,"NatureServe, 2020","NatureServe, 2020"
Campostoma,anomalum,"NatureServe, 2020","NatureServe, 2020","Heithaus & Laushman, 1997","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Meyers et al., 2015"
Couesius,plumbeus,"Meyers et al., 2015","Meyers et al., 2015","Debruyn, 2014","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Debruyn, 2014","Debruyn, 2014","Meyers et al., 2015","Froese & Pauly, 2000;Meyers et al., 2015"
Ctenopharyngodon,idella,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Nixon & Miller, 1978;Froese & Pauly, 2000;A. E. George & Chapman, 2015","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Nixon & Miller, 1978","NatureServe, 2020",,"Chilton & Poarch, 1997","Froese & Pauly, 2000;NatureServe, 2020"
Cyprinus,carpio,"IUCN, 2020","IUCN, 2020","Stuart & Jones, 2006","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Stuart & Jones, 2006","Stuart & Jones, 2006","Stuart & Jones, 2006","Froese & Pauly, 2000;NatureServe, 2020"
Labeo,rohita,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009",,"Froese & Pauly, 2000",,,,"Mir et al., 2013",,,"Froese & Pauly, 2000"
Leuciscus,idus,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Winter & Fredrich, 2003;Kulíšková et al., 2009","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Kulíšková et al., 2009","IUCN, 2020","Kulíšková et al., 2009;Winter & Fredrich, 2003;IUCN, 2020","Kulíšková et al., 2009","IUCN, 2020;Froese & Pauly, 2000"
Rutilus,rutilus,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","W. P. Williams, 1965;Goldspink, 1977","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Heermann & Borcherding, 2006","Kestemont et al., 1999;Skov et al., 2013",,"W. P. Williams, 1965","IUCN, 2020;Froese & Pauly, 2000"
Scardinius,erythrophthalmus,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009",,"Froese & Pauly, 2000",,,"M. Kennedy & Fitzmaurice, 1974","M. Kennedy & Fitzmaurice, 1974",,,"IUCN, 2020;Froese & Pauly, 2000"
Semotilus,atromaculatus,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Meyers et al., 2015","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,"Belica & Rahel, 2008","Froese & Pauly, 2000"
Esox,lucius,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","L. M. Miller et al., 2001;IUCN, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Diana et al., 1977","IUCN, 2020",,"Knight et al., 2008","Froese & Pauly, 2000;Meyers et al., 2015"
Esox,masquinongy,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Jennings et al., 2011;IUCN, 2020;NatureServe, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,"M. L. Miller & Menzel, 1986","Froese & Pauly, 2000;Meyers et al., 2015"
Gobius,paganellus,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Vinagre et al., 2016;Roma et al., 2018;IUCN, 2020","Froese & Pauly, 2000",,,,"P. J. Miller, 1961",,"Roma et al., 2018","Froese & Pauly, 2000"
Ameiurus,melas,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009",,"Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,"Meyers et al., 2015","Froese & Pauly, 2000;Meyers et al., 2015"
Ameiurus,natalis,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Meyers et al., 2015","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Greenbank, 1956","IUCN, 2020",,"Meyers et al., 2015","Meyers et al., 2015"
Dicentrarchus,labrax,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Meyers et al., 2015;Kelley & Pickett, 1987","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020","Kelley & Pickett, 1987;Meyers et al., 2015","Kelley & Pickett, 1987","Froese & Pauly, 2000"
Morone,chrysops,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Starnes et al., 1983;NatureServe, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020","Meyers et al., 2015","Martin et al., 2009","Froese & Pauly, 2000;Meyers et al., 2015"
Mugil,cephalus,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Strydom & D’Hotman, 2005;Meyers et al., 2015","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Meyers et al., 2015","Meyers et al., 2015","Meyers et al., 2015","IUCN, 2020;Froese & Pauly, 2000"
Trematomus,bernacchii,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","A. Van de Putte, 2008","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Miyamoto & Tanimura, 1999","Corbett et al., 2014",,"Miyamoto & Tanimura, 1999","Froese & Pauly, 2000"
Perca,fluviatilis,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Bergek & Olsson, 2009;Bruylants et al., 1986","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Le Cren, 1951","Riede, 2004","Allen, 1935","Bruylants et al., 1986","IUCN, 2020;Froese & Pauly, 2000"
Oncorhynchus,kisutch,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Labelle, 1992;NatureServe, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Bustard & Narver, 1975","NatureServe, 2020;Riede, 2004","NatureServe, 2020",,"Meerburg, 1986;Froese & Pauly, 2000"
Salvelinus,fontinalis,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","H. C. White, 1941;NatureServe, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"NatureServe, 2020;Riede, 2004","NatureServe, 2020;Meyers et al., 2015",,"Altman & Dittmer, 1962;Froese & Pauly, 2000"
Salvelinus,alpinus,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Bernatchez et al., 1998;DeCicco, 1992","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Mortensen et al., 2007","IUCN, 2020","DeCicco, 1992;Meyers et al., 2015","Meyers et al., 2015","Meyers et al., 2015;Froese & Pauly, 2000"
Salvelinus,namaycush,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Binder et al., 2015;Bronte et al., 2007;NatureServe, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Flavelle et al., 2001","NatureServe, 2020","NatureServe, 2020","Flavelle et al., 2001","Meyers et al., 2015;Froese & Pauly, 2000"
Pseudophryne,bibronii,,,"Barton, 1981","Oliveira et al., 2017",,,"Woodruff, 1977",,,"Woodruff, 1977","Woodruff, 1977"
Quasipaa,spinosa,,,"Chan et al., 2014","Zheng & Liu, 2010",,,,,,"Chan et al., 2014",
Rana,clamitans,"AmphibiaWeb, 2020","AmphibiaWeb, 2020","AmphibiaWeb, 2020","NatureServe, 2020",,,"AmphibiaWeb, 2020",,,"AmphibiaWeb, 2020","AmphibiaWeb, 2020"
Rana,pipiens,"Oliveira et al., 2017","Oliveira et al., 2017",,"Oliveira et al., 2017",,,Herbert 2002,,,"Blomquist & Hunter, 2009;Herbert 2002","Herbert 2002;Oliveira et al., 2017"
Rhinella,granulosa,"Chammas et al., 2015",,,"Oliveira et al., 2017",,,"J. E. Carvalho et al., 2010",,,,
Rhinella,marina,"Oliveira et al., 2017","Oliveira et al., 2017",,"Oliveira et al., 2017",,,"AmphibiaWeb, 2020",,,"AmphibiaWeb, 2020","Oliveira et al., 2017"
Spea,hammondii,"AmphibiaWeb, 2020","AmphibiaWeb, 2020","Baumberger et al., 2019","Oliveira et al., 2017",,,"AmphibiaWeb, 2020",,,"Baumberger et al., 2019","AmphibiaWeb, 2020"
Pleurodema,thaul,"Iturra-Cid et al., 2010","Iturra-Cid et al., 2010",,"Iturra-Cid et al., 2010",,,"Iturra-Cid et al., 2010",,,,"Iturra-Cid et al., 2010"
Drosophila,melanogaster,"Sgrò & Partridge, 2000","Sgrò & Partridge, 2000","Coyne & Milstead, 1987","Meyers et al., 2015",,,"Lirakis et al., 2018",,,,"R. S. Miller & Thomas, 1958"
Rhinella,spinulosa,,,"Parr, 1973","Womack et al., 2016",,,"Rodríguez et al., 2019",,,,
Atractosteus,spatula,"Meyers et al., 2015","Meyers et al., 2015","Buckmeier, 2008","Meyers et al., 2015",,,,"Buckmeier et al., 2013",,"Buckmeier, 2008","Meyers et al., 2015"
Ischnura,elegans,"Thompson, 1978","Thompson, 1978","Parr, 1973","Watson & Dallwitz, 2019",,,,,,"Parr, 1973","Piersanti et al., 2015"
Temnothorax,curvispinosus,,,"Pratt, 2008","Geraghty et al., 2007",,,"Alloway et al., 1982",,,,"Diamond et al., 2017"
Mauremys,reevesii,"IUCN, 2020",,,"IUCN, 2020",,,,,,,
Trachemys scripta,elegans,"IUCN, 2020","IUCN, 2020","Meyers et al., 2015","IUCN, 2020",,,,,,"Meyers et al., 2015","De Magalhães & Costa, 2009"
Rhynchocypris,oxycephalus,"Liang et al., 2014","Liang et al., 2014",,"Froese & Pauly, 2000",,,,"Nishida et al., 2014",,,"Liang et al., 2014"
Ceratitis,capitata,"H. V. Weems, 1981","H. V. Weems, 1981","Meats & Smallridge, 2007","H. V. Weems, 1981",,,,,,,"H. V. Weems, 1981"
Lampropholis,coggeri,,,,"Llewelyn et al., 2017",,,,,,,"Llewelyn et al., 2016"
Orchesella,cincta,"Zizzari et al., 2009","Zizzari et al., 2009","Timmermans et al., 2005","Driessen, 2007",,,,,,,"Zizzari et al., 2009"
Tigriopus,californicus,"Vittor, 1971",,,"Powlik et al., 1997",,,,,,,
Couesius,plumbeus,"Meyers et al., 2015","Meyers et al., 2015","Debruyn, 2014","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Debruyn, 2014","Debruyn, 2014","Meyers et al., 2015","Froese & Pauly, 2000;Meyers et al., 2015"
