Species.name_(queried_GBIF),,reason_no_map,IUCN?,to_check,Range_source,Range_source_website,Range_description,Range_errors,Action,Realm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cophixalus hosmeri,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=41121,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cophixalus infacetus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=41122,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cophixalus mcdonaldi,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=41039,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cophixalus neglectus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=41040,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cophosaurus texanus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64062,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coptotermes formosanus,,,,,government site,http://www.invasivespeciesinfo.gov/animals/fst.shtml,Native To: China (Hu 2003),number of points is too small,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordylus cordylus,,,,,Reptile database,,"Republic of South Africa; S Mozambique; S Zimbabwe; 
Kenya; Tansania; S Angola; Botswana; SW Zambia; Malawi","GBIF is missing most of range, esp northern extent (angola, zambia, kenya)",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordylus niger,,,,,Reptile database,,Republic of South Africa (Cape Peninsula and Saldanha Bay; Cape Province),,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordylus oelofseni,,,,,Reptile database,,Republic of South Africa (Cape Province),only one point,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coryphopterus urospilus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=183421,gbif good too - range really is disjunct in N and S Mexico,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottus bairdii,,,,,Fishbase,,North America: widespread with highly disjunct distribution in Canada and USA. The former Blue Ridge race of the Atlantic slope of the Appalachian Mountains is now recognized as a distinct species Cottus caeruleomentum.,hard to separate from dif. Species,excl.points,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottus cognatus,,,,,Fishbase,,"North America: throughout most of mainland Canada and Alaska; Atlantic Slope drainages south to Potomac River in Virginia, USA; St. Lawrence-Great Lakes basin; upper Mississippi River basin in Wisconsin, Minnesota and Iowa, USA; upper Columbia River drainage in Canada and USA. Also in Siberia, Russia.",,fine,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crangon crangon,,,,,Marlin; FAO,http://www.marlin.ac.uk/biotic/browse.php?sp=4599; http://www.fao.org/fishery/species/3435/en,from the Finnish coast South into the Baltic and into the Mediterranean,,fine,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranopsis coccifer,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=54611,syn: Incilius coccifer,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craugastor fleischmanni,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=56603,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crematogaster inflata,,,,,AntWiki,,"Indo-Australian Region: Borneo; Philippines; Singapore (type locality).
Oriental Region: Thailand.",number of points is too small,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crematogaster lineolata,,,,,AntWiki,,"Eastern United States; west to Colorado and Texas; south into Mexico.
",,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crematogaster Physocrema sp,,NO SP,,,none,,"JS tried to get to the bottom of weird name, but couldn't find it in the original paper. Give up - remove","Crematogaster & Physocrema are both Genera, so missing species name",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crinia darlingtoni,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=41130,syn: Assa darlingtoni,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crinia parainsignifera,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=41137,syn: Crinia parinsignifera (or actual original name),remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crinia signifera,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=41141,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crinia victoriana,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=41148,syn: Geocrinia victoriana,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotalus atrox,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64311,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotalus cerastes,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64315,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotalus scutulatus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64332,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotalus viridis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64339,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotaphytus collaris,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64007 ,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crustulina guttata,,,,,SRS British Spiders,,The spider is widespread but locally distributed in much of southern and eastern Britain but becomes very scattered and absent in the west and north. It is widespread in western and central Europe.,"erroneous points in N America, also remove eastern-most points in Russia",excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptoblepharus litoralis,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,"Australia (North Territory;Queensland); S New Guinea (very coastal), all points are W of 140 degrees",remove points W of 140 degrees,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptoblepharus plagiocephalus,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,"almost throughout Oz, except missing SE corner.  No notes re other countries","cut out 2 loner points in SE corner (range has gap in SE Oz), and outlier in far east (island)",excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptoblepharus virgatus,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales;Queensland;South Australia;Victoria;West Australia); Indonesia (Babar; Damar and Tanimbar Islands; S Irian Jaya; probably introduced to Bogor; Java.),range really is disjuct  - missing from coastal victoria state,code.individually,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptopygus antarcticus travei,,NO GBIF,,,government site,http://www.environment.gov.au/biodiversity/abrs/online-resources/fauna/afd/taxa/Cryptopygus_antarcticus,Australian Capital Territory; New South Wales; Queensland; South Australia; Tasmania; Victoria; Western Australia / Australian Antarctic Territory,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptopygus cisantarcticus,,NO GBIF,,,none,,no good range descriptions,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctenophorus cristatus,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (South Australia; West Australia),remove 3 northern isolated pionts,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctenophorus decresii,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; South Australia),v limited range in Y shape (kangaroo island + Mt Lofty ranges); remove east outlier and 3 western loner points,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctenophorus fordi,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; Queensland; South Australia; Victoria; West Australia; from Comet Vale and Coolgardie eastwards to the southern rim of the Victoria desert),"remove 3 northern points, easternmost point, Nwmost points (cluster)",excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctenophorus maculosus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=170385,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctenophorus nuchalis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=170386,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctenophorus pictus,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; North Territory; Queensland; South Australia; Victoria; West Australia),points outside range; remove 2 northernmost outliers & everything W of 122 degrees,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctenophorus reticulatus,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (South Australia; West Australia),remove 6 northernmost pionts,code.individually,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctenotus essingtonii,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,"North coast and islands of NT and Qld, extending inland from the Gulf of Carpentaria and across Cape York peninsula",,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctenotus pantherinus,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales?; North Territory; Queensland; South Australia; West Australia),Cogger says not in Tasmania,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctenotus regius,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales;North Territory;Queensland;South Australia;Victoria),no outliying populations ,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctenotus spaldingi,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,northern NT and northern Queensland,,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctenotus taeniolatus,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,coastal mid queensland through new SW just into edge of victoria,points outside range,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctenotus uber,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,"eastern interior of S and SW Oz to far western parts of NSW & Vic, two possible holes in range (1 of which reflected in gbif points), outlying pop in northeastern WA",get rid of northernmost outlier,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cucujus clavipes,,,,,Bugguide,,most of NA north to NF-AK,very sparse sampling for very wide range,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclodomorphus branchialis,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (North Territory; Queensland; South Australia; West Australia; Tasmania,"super restricted range, lower west coast of WA",excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclodomorphus melanops,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,"Australia (arid interior of all mainland states: North Territory; Queensland; South Australia; West Australia; Northern Terrotory)
melanops: arid NW-Australia (Kimberleys and Pilbara; West Australia and C Australia.
elongatus: arid S/E-Australia; southern West Australia through South Australia; S North Territory; W New South Wales to W Queensland. Type locality: Boorabbin; ""S_dwest- Australien"" [south W.A.].
siticulosus: southern fringe of the Nullarbor Plain.","GBIF has much wider (continuous) range than Cogger. Looks like might be 2 species confounded, or big range expansion",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclorana alboguttatus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=41066,syn: Litoria alboguttata,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprinella lutrensis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=191260,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprinella spiloptera,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=202086,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprinodon artifrons,,,,,Fishbase,,Central America: Mexico to Belize,description of range in mexico (just says MX) too vague to be sure of northern range lmit,remove,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprinodon dearborni,,NO GBIF,,,Fishbase,,South America: Coastal habitats of northern South America.,NO GBIF,remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprinodon macularius,,,,,Fishbase,,"North America: lower Colorado River drainage, including Gila River system and south through southern Arizona and California, USA (including Salton Sea) into northern Mexico.",,excl.points,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprinodon nevadensis_amargosae,,,,,Fishbase,,North America: Amargosa River basin in Nevada and California; USA. Six subspecies were recognized: Cyprinodon nevadensis nevadensis; restricted to Saratoga Springs and adjoining lakes; Death Valley National Monument in California; Cyprinodon nevadensis amargosae; restricted to Amargosa River in California; Cyprinodon nevadensis calidae; now extinct; in outlets of North and South Tecopa Hot Springs in California; Cyprinodon nevadensis shoshone ; in outlet of Shoshone Springs in California; Cyprinodon nevadensis mionectes; in large springs in lower Ash Meadows in Nevada; Cyprinodon nevadensis pectoralis; in small springs in hills around Devils Hole; upper Ash Meadows in Nevada.,few points but restricted range - keep,fine,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprinodon variegatus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=189823,,remove.use.IUCN,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyrtodactylus philippinicus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=169862,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallia pectoralis,,,,,Fishbase,,North America: Alaska from Colville River delta south to central Alaska Peninsula near Chignik; upstream in Yukon-Tanana drainage to near Fairbanks. Also Bering Sea islands and northeastern Siberia; Russia.,,fine,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dascyllus aruanus,,,,,Fishbase,,Indo-West Pacific: Red Sea and East Africa to the Line; Marquesan and Tuamoto islands; north to southern Japan; south to Sydney; Australia.,get rid of points florida,excl.points,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dasyatis sabina,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=60158,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrobates auratus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=55174,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,no good range descriptions,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,no good range descriptions,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deroceras reticulatum,,,,,Animal base,http://www.animalbase.uni-goettingen.de/zooweb/servlet/AnimalBase/home/species?id=694,Europe; widely distributed; more rare and resticted to cultivated fields in the southeast; particularly in the Balkans; probably absent from Greece and Bulgarian mountains. Introduced as a synanthrope to many regions; North America; Peru; Tasmania; New Zealand; central Asia.,introduced to N America / Australia / S America,excl.points,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmognathus fuscus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=59249,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmognathus ochrophaeus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=59253,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmognathus quadramaculatus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=59256,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicentrarchus labrax,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=135606,GBIF: S RL v poorly started,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diplodus bellottii,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=170222,gbif: sparesly sampled,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diplodus sargus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=170155,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diplodus vulgaris,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=170261,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dipoena inornata,,,,,SRS British Spiders,,A southern species with several records from the Welsh coast and one old record from south-western Scotland. It is widespread in northern and central Europe.,number of points is too small,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dipsosaurus dorsalis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64053,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distaplia occidentalis,,,,,WoRMS,,"North Pacific Ocean
Unreviewed: has not been verified by a taxonomic editorEast North Pacific [details]",,excl.points,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divaricella irpex,,,,,SeaLifeBase,,Eastern Indian Ocean: Australia.,,fine,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolichoderus beccarii,,NO GBIF,,,AntWiki,,Indo-Australian Region: Borneo; Indonesia (type locality).,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolichoderus cuspidatus,,,,,AntWiki,,"Indo-Australian Region: Borneo (type locality); Indonesia; Malaysia.
Oriental Region: Thailand.",number of points is too small,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donax serra,,,,,WoRMS,,"Namibia
Unreviewed: has not been verified by a taxonomic editorNamibia [details]
South Africa
Unreviewed: has not been verified by a taxonomic editorEast Coast of South Africa [details]
Unreviewed: has not been verified by a taxonomic editorSouth Africa (country) [details]",,excl.points,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donax sordidus,,,,,WoRMS,,"FROM REGIONAL OR THEMATIC SPECIES DATABASE
South Africa
Trusted: edited by a thematic editorSouth Coast of South Africa [details]","even though does seem to be endemic to SA (only papers found on sp are from south africa, and only range descriptions also just say SA), too few pionts to be sure captured real range limits",remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila angularis,,NO GBIF,,,,https://kyotofly.kit.jp/ehime/spdescription/angularis.html,Japan; Quelpart Is.; Korea; ne. and n. China; Russia (Far East)?; ORIENTAL (c. and sw. China).,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila auraria,,NO GBIF,,,DOI 10.1007/s00442-004-1605-4,,Sapporo/Tokyo,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila biauraria,,NO GBIF,,,DOI 10.1007/s00442-004-1605-4,,Sapporo,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila bipectinata,,NO GBIF,,,,http://evolution.ibmc.up.pt/sites/default/files/bipectinata.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila birchii,,,,,http://evolution.ibmc.up.pt/,http://evolution.ibmc.up.pt/sites/default/files/birchii.png,,"too few points (no points on map because there is only one point and z-score is NA for most central point, therefore doesnêt get plotted)",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila bizonata,,NO GBIF,,,none,,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila bocki,,NO GBIF,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/bocki.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila brachynephros,,NO GBIF,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/brachynephros_gis.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila curviceps,,NO GBIF,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/curviceps_gis.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila curvispina,,NO GBIF,,,none,,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila daruma,,NO GBIF,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/daruma_gis.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila elegans,,NO GBIF,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/elegans.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila ficusphila,,NO GBIF,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/ficusphila.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila guttifera,,NO GBIF,,,http://evolution.ibmc.up.pt/,http://evolution.ibmc.up.pt/sites/default/files/guttifera_gis_0.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila immigrans,,,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/immigrans_gis.png,,number of points is too small,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila kanekoi,,NO GBIF,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/kanekoi_gis_4.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila lacertosa,,NO GBIF,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/lacertosa_gis.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila lacteicornis,,NO GBIF,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/lacteicornis.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila lutescens,,NO GBIF,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/lutescens.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila neotestacea,,,,,http://www.nature.com/scitable/blog/watching-the-detectives/evolution_in_action_a_new, lives in much of the United States and southern Canada,,"missing US points, v sparse sampling for v large range",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila nigromaculata,,NO GBIF,,,none,,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila orientacea,,NO GBIF,,,none,,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila putrida,,NO GBIF,,,http://evolution.ibmc.up.pt/,http://evolution.ibmc.up.pt/sites/default/files/putrida_gis.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drosophila quadrilineata,,NO GBIF,,,http://evolution.ibmc.up.pt/node/35,http://evolution.ibmc.up.pt/sites/default/files/quadrilineata_gis.png,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
