genus,species,phylum,class,order,family,life_stage,female_maturity_days,data_gatherer,realm,kingdom,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,trophic_position,source_logic_for_trophic_position,migratory,source_logic_for_migration_info,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering,logic_source_for_dispersal_type,cold_season_dormancy,source_logic_for_cold_season_dormancy,hot_season_dormancy,source_logic_for_hot_season_dormancy,highland_specialist,pelagic_habitat_for_marine_species,source_logic_for_highland_specialist,notes,orig_genus,orig_species,terrestriality_available_for_mammals_only_see_pan_theria_metadata,pantheria05genus,pantheria05species,pantheria93genus,pantheria93species,all_pantheria_synonyms05,pantheria_references,binary_name,try_species_number_for_plants,notes_on_body_size_e_g_type_of_metric
Hyla,peroni,Chordata,Amphibia,Anura,Hylidae,NA,"NA",Micky,Terrestrial,Animalia,5.12,"Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnodynastes,dorsalis,Chordata,Amphibia,Anura,Hylidae,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudophryne,bibroni,Chordata,Amphibia,Anura,Hylidae,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnodynastes,tasmaniensis,Chordata,Amphibia,Anura,Hylidae,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crinia,parainsignifera,Chordata,Amphibia,Anura,Myobatrachidae,adult,"NA",Micky,Terrestrial,Animalia,2,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995).åÊA Field Guide to Australian Frogs.åÊSurrey Beatty and Sons, New South Wales.åÊåÊ",insectivore,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.",Y,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.",NA,NA,walking,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.",Y,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.",NA,NA,non-highland specialist,NA,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyla,aurea,Chordata,Amphibia,Anura,Hylidae,adult,"NA",Micky,Terrestrial,Animalia,8.5,"Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyla,phyllochroa,Chordata,Amphibia,Anura,Hylidae,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crinia,victoriana,Chordata,Amphibia,Anura,Myobatrachidae,adult,"NA",Micky,Terrestrial,Animalia,3.5,Amphibian Research Centre. The Frogs of Australia. available at :[http://frogs.org.au],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyla,alpina,Chordata,Amphibia,Anura,Hylidae,adult,"NA",Micky,Terrestrial,Animalia,4,Amphibian Research Centre. The Frogs of Australia. available at :[http://frogs.org.au],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagopus,lagopus,Chordata,Aves,Galliformes,Phasianidae,adult,365,Brad,Terrestrial,Animalia,43,HBW Alive,herbivore,various websites,Mixed,HBW Alive,10+ km,NA,flight,NA,N,NA,N,NA,N,NA,HBW Alive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gigartina,teedii,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,adult,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myrmecocystus,depilis,Arthropoda,Insecta,Hymenoptera,Formicidae,adult,"NA",Piero,Terrestrial,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
