db,query,class
ncbi,Pimephales notatus,Actinopteri
itis,Pimephales promelas,Teleostei
ncbi,Pimephales promelas,Actinopteri
itis,Rhinichthys atratulus,Teleostei
ncbi,Rhinichthys atratulus,Actinopteri
itis,Rhinichthys osculus,Teleostei
ncbi,Rhinichthys osculus,Actinopteri
itis,Rutilus rutilus,Teleostei
ncbi,Rutilus rutilus,Actinopteri
itis,Scardinius erythrophthalmus,Teleostei
ncbi,Scardinius erythrophthalmus,Actinopteri
itis,Semotilus atromaculatus,Teleostei
ncbi,Semotilus atromaculatus,Actinopteri
itis,Siphateles bicolor,Teleostei
ncbi,Siphateles bicolor,Actinopteri
itis,Squalius cephalus,NA
ncbi,Squalius cephalus,Actinopteri
itis,Cyprinodon bovinus,Teleostei
ncbi,Cyprinodon bovinus,Actinopteri
itis,Cyprinodon dearborni,Teleostei
ncbi,Cyprinodon dearborni,Actinopteri
itis,Cyprinodon nevadensis,Teleostei
ncbi,Cyprinodon nevadensis,Actinopteri
itis,Gobiomorphus basalis,Teleostei
ncbi,Gobiomorphus basalis,Actinopteri
itis,Gobiomorphus cotidianus,Teleostei
ncbi,Gobiomorphus cotidianus,Actinopteri
itis,Esox lucius,Teleostei
ncbi,Esox lucius,Actinopteri
itis,Esox masquinongy,Teleostei
ncbi,Esox masquinongy,Actinopteri
itis,Fundulus diaphanus,Teleostei
ncbi,Fundulus diaphanus,Actinopteri
itis,Fundulus heteroclitus,Teleostei
ncbi,Fundulus heteroclitus,Actinopteri
itis,Fundulus notatus,Teleostei
ncbi,Fundulus notatus,Actinopteri
itis,Culaea inconstans,Teleostei
ncbi,Culaea inconstans,Actinopteri
itis,Gobiesox strumosus,Teleostei
ncbi,Gobiesox strumosus,Actinopteri
itis,Bathygobius fuscus,Teleostei
ncbi,Bathygobius fuscus,Actinopteri
itis,Bathygobius ramosus,Teleostei
ncbi,Bathygobius ramosus,Actinopteri
itis,Bathygobius soporator,Teleostei
ncbi,Bathygobius soporator,Actinopteri
itis,Coryphopterus urospilus,Teleostei
ncbi,Coryphopterus urospilus,Actinopteri
itis,Gobiosoma chiquita,Teleostei
ncbi,Gobiosoma chiquita,Actinopteri
itis,Gobius paganellus,Teleostei
ncbi,Gobius paganellus,Actinopteri
itis,Haemulon flavolineatum,Teleostei
ncbi,Haemulon flavolineatum,Actinopteri
itis,Ameiurus catus,Teleostei
ncbi,Ameiurus catus,Actinopteri
itis,Ameiurus melas,Teleostei
ncbi,Ameiurus melas,Actinopteri
itis,Ameiurus natalis,Teleostei
ncbi,Ameiurus natalis,Actinopteri
itis,Ameiurus nebulosus,Teleostei
ncbi,Ameiurus nebulosus,Actinopteri
itis,Ictalurus punctatus,Teleostei
ncbi,Ictalurus punctatus,Actinopteri
itis,Kuhlia sandvicensis,Teleostei
ncbi,Kuhlia sandvicensis,Actinopteri
itis,Halichoeres dispilus,Teleostei
ncbi,Halichoeres dispilus,Actinopteri
itis,Thalassoma lucasanum,Teleostei
ncbi,Thalassoma lucasanum,Actinopteri
itis,Lutjanus guttatus,Teleostei
ncbi,Lutjanus guttatus,Actinopteri
itis,Dicentrarchus labrax,Teleostei
ncbi,Dicentrarchus labrax,Actinopteri
itis,Morone chrysops,Teleostei
ncbi,Morone chrysops,Actinopteri
itis,Morone saxatilis,Teleostei
ncbi,Morone saxatilis,Actinopteri
itis,Chelon subviridis,NA
ncbi,Chelon subviridis,Actinopteri
itis,Mugil cephalus,Teleostei
ncbi,Mugil cephalus,Actinopteri
itis,Gobionotothen gibberifrons,Teleostei
ncbi,Gobionotothen gibberifrons,Actinopteri
itis,Lepidonotothen squamifrons,Teleostei
ncbi,Lepidonotothen squamifrons,Actinopteri
itis,Notothenia coriiceps,Teleostei
ncbi,Notothenia coriiceps,Actinopteri
itis,Pagothenia borchgrevinki,Teleostei
ncbi,Pagothenia borchgrevinki,Actinopteri
itis,Trematomus bernacchii,Teleostei
ncbi,Trematomus bernacchii,Actinopteri
itis,Trematomus hansoni,Teleostei
ncbi,Trematomus hansoni,Actinopteri
itis,Hypomesus transpacificus,Teleostei
ncbi,Hypomesus transpacificus,Actinopteri
itis,Osmerus mordax,Teleostei
ncbi,Osmerus mordax,Actinopteri
itis,Etheostoma blennioides,Teleostei
ncbi,Etheostoma blennioides,Actinopteri
itis,Etheostoma caeruleum,Teleostei
ncbi,Etheostoma caeruleum,Actinopteri
itis,Etheostoma flabellare,Teleostei
ncbi,Etheostoma flabellare,Actinopteri
itis,Etheostoma nigrum,Teleostei
ncbi,Etheostoma nigrum,Actinopteri
itis,Etheostoma spectabile,Teleostei
ncbi,Etheostoma spectabile,Actinopteri
itis,Gymnocephalus cernua,NA
ncbi,Gymnocephalus cernua,Actinopteri
itis,Perca flavescens,Teleostei
ncbi,Perca flavescens,Actinopteri
itis,Perca fluviatilis,Teleostei
ncbi,Perca fluviatilis,Actinopteri
itis,Sander vitreus,Teleostei
ncbi,Sander vitreus,Actinopteri
itis,Gambusia affinis,Teleostei
ncbi,Gambusia affinis,Actinopteri
itis,Heterandria formosa,Teleostei
ncbi,Heterandria formosa,Actinopteri
itis,Poecilia mexicana,Teleostei
ncbi,Poecilia mexicana,Actinopteri
itis,Abudefduf saxatilis,Teleostei
ncbi,Abudefduf saxatilis,Actinopteri
itis,Coregonus artedi,Teleostei
ncbi,Coregonus artedi,Actinopteri
itis,Coregonus clupeaformis,Teleostei
ncbi,Coregonus clupeaformis,Actinopteri
itis,Oncorhynchus kisutch,Teleostei
ncbi,Oncorhynchus kisutch,Actinopteri
itis,Oncorhynchus mykiss,Teleostei
ncbi,Oncorhynchus mykiss,Actinopteri
itis,Salmo trutta,Teleostei
ncbi,Salmo trutta,Actinopteri
itis,Salvelinus alpinus,Teleostei
ncbi,Salvelinus alpinus,Actinopteri
itis,Salvelinus fontinalis,Teleostei
ncbi,Salvelinus fontinalis,Actinopteri
itis,Salvelinus namaycush,Teleostei
ncbi,Salvelinus namaycush,Actinopteri
itis,Thymallus arcticus,Teleostei
ncbi,Thymallus arcticus,Actinopteri
itis,Scatophagus argus,Teleostei
ncbi,Scatophagus argus,Actinopteri
itis,Aplodinotus grunniens,Teleostei
ncbi,Aplodinotus grunniens,Actinopteri
itis,Diplodus vulgaris,Teleostei
ncbi,Diplodus vulgaris,Actinopteri
itis,Terapon jarbua,Teleostei
ncbi,Terapon jarbua,Actinopteri
itis,Sphoeroides annulatus,Teleostei
ncbi,Sphoeroides annulatus,Actinopteri
