genus_species,latitude,longitude
Lithobates sylvaticus,41.902,-72.08
Litoria bicolor,-12.372179,130.868867
Litoria caerulea,-12.372179,130.868867
Litoria rothii,-12.372179,130.868867
Litoria rubella,-12.372179,130.868867
Notophthalmus viridescens,42.69,-73.29
Notophthalmus viridescens,43.3,-72.783
Odontophrynus occidentalis,-31.701,-68.095
Pseudacris crucifer,47.165,-95.197
Rhinella granulosa,-5.658,-36.61
Rhinella marina,-27.553,153.056
Acipenser brevirostrum,45.3,-66.13
Acipenser brevirostrum,32.89,-84.67
Ambassis ambassis,11.49,79.76
Ambassis ambassis,-30.86,25.14
Ambassis ambassis,11.49,79.77
Anguilla australis,-35.15,173.68
Anguilla australis,-37.27,174.87
Apogon dovii,2.97,7.18
Apogon dovii,2.99,-78.2
Apogon dovii,7.33,-80.21
Lipophrys pholis,38.71,-9.49
Lipophrys pholis,54.09,-4.76
Lipophrys trigloides,38.82,-9
Lipophrys trigloides,38.71,-9.49
Carpiodes cyprinus,39.97,-82.81
Carpiodes cyprinus,42.08,-81.34
Catostomus clarkii,NA,NA
Catostomus clarkii,37.2,-113.26
Catostomus commersonii,NA,NA
Catostomus commersonii,43.22,-86.35
Catostomus commersonii,46.78,-94.7
Catostomus commersonii,54.61,-124.91
Catostomus commersonii,42.08,-81.34
Hypentelium nigricans,42.6,-78.47
Hypentelium nigricans,36.94,-81.05
Ambloplites rupestris,36.94,-81.05
Ambloplites rupestris,42.08,-81.34
Lepomis cyanellus,NA,NA
Lepomis cyanellus,38.16,-81.2
Lepomis cyanellus,35.66,-97.47
Lepomis cyanellus,35.57,-97.63
Lepomis gibbosus,42.08,-81.34
Lepomis gibbosus,47.37,-120.26
Lepomis macrochirus,NA,NA
Lepomis macrochirus,36.94,-81.05
Lepomis macrochirus,34.18,-111.71
Lepomis macrochirus,29.48,-81.68
Lepomis macrochirus,38.34,-90.37
Lepomis macrochirus,35.66,-97.47
Lepomis macrochirus,35.57,-97.63
Lepomis macrochirus,28.62,-81.63
Lepomis macrochirus,41.03,-75.47
Lepomis macrochirus,40.79,-80.47
Lepomis macrochirus,42.08,-81.34
Lepomis macrochirus,31.45,-98.95
Lepomis megalotis,NA,NA
Lepomis megalotis,35.66,-97.47
Micropterus dolomieu,36.94,-81.05
Micropterus dolomieu,NA,NA
Micropterus dolomieu,35.66,-97.47
Micropterus dolomieu,42.08,-81.34
Micropterus punctulatus,36.94,-81.05
