assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
87399543,22708146,Bombycilla garrulus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,BOMBYCILLIDAE,Bombycilla,garrulus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
88203665,22720041,Fringilla montifringilla,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Fringilla,montifringilla,,,,"Linnaeus, 1758",Least Concern,,3.1,Decreasing,Global
89345729,22721043,Plectrophenax nivalis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CALCARIIDAE,Plectrophenax,nivalis,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
89644875,22679862,Cygnus columbianus,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Cygnus,columbianus,,,,"(Ord, 1815)",Least Concern,,3.1,Unknown,Global
90067130,90066866,Contia tenuis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DIPSADIDAE,Contia,tenuis,,,,"(Baird &amp; Girard, 1852)",Least Concern,,3.1,Stable,Global
92832376,22679859,Cygnus buccinator,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Cygnus,buccinator,,,,"Richardson, 1832",Least Concern,,3.1,Increasing,Global
92843477,22680104,Aix sponsa,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Aix,sponsa,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
92846924,22680163,Mareca americana,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Mareca,americana,,,,"(Gmelin, 1789)",Least Concern,,3.1,Stable,Global
92850997,22680229,Spatula discors,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Spatula,discors,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Decreasing,Global
92851668,22680233,Spatula cyanoptera,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Spatula,cyanoptera,,,,"(Vieillot, 1816)",Least Concern,,3.1,Decreasing,Global
92858752,22680364,Aythya valisineria,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Aythya,valisineria,,,,"(Wilson, 1814)",Least Concern,,3.1,Decreasing,Global
92859064,22680367,Aythya americana,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Aythya,americana,,,,"(Eyton, 1838)",Least Concern,,3.1,Increasing,Global
92859350,22680370,Aythya collaris,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Aythya,collaris,,,,"(Donovan, 1809)",Least Concern,,3.1,Increasing,Global
92861095,22680402,Aythya affinis,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Aythya,affinis,,,,"(Eyton, 1838)",Least Concern,,3.1,Decreasing,Global
92863192,22680462,Bucephala albeola,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Bucephala,albeola,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
92863561,22680472,Lophodytes cucullatus,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Lophodytes,cucullatus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
92879169,22680801,Melanerpes lewis,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Melanerpes,lewis,,,,"(Gray, 1849)",Least Concern,,3.1,Decreasing,Global
92894756,22681155,Dryobates pubescens,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Dryobates,pubescens,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Stable,Global
92895449,22681166,Leuconotopicus villosus,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Leuconotopicus,villosus,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Increasing,Global
92903232,22681363,Hylatomus pileatus,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Hylatomus,pileatus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
92992287,22683623,Megaceryle alcyon,ANIMALIA,CHORDATA,CORACIIFORMES,AVES,ALCEDINIDAE,Megaceryle,alcyon,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
93186783,22688199,Calypte anna,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,TROCHILIDAE,Calypte,anna,,,,"(Lesson, 1829)",Least Concern,,3.1,Increasing,Global
93207555,22688747,Megascops kennicottii,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,STRIGIDAE,Megascops,kennicottii,,,,"(Elliot, 1867)",Least Concern,,3.1,Decreasing,Global
93217844,22689094,Strix varia,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,STRIGIDAE,Strix,varia,,,,"Barton, 1799",Least Concern,,3.1,Increasing,Global
93228127,22689362,Aegolius funereus,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,STRIGIDAE,Aegolius,funereus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
93228694,22689366,Aegolius acadicus,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,STRIGIDAE,Aegolius,acadicus,,,,"(Gmelin, 1788)",Least Concern,,3.1,Decreasing,Global
93234548,22689531,Asio flammeus,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,STRIGIDAE,Asio,flammeus,,,,"(Pontoppidan, 1763)",Least Concern,,3.1,Decreasing,Global
93244252,22689714,Chordeiles minor,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,CAPRIMULGIDAE,Chordeiles,minor,,,,"(Forster, 1771)",Least Concern,,3.1,Decreasing,Global
93336581,22692078,Antigone canadensis,ANIMALIA,CHORDATA,GRUIFORMES,AVES,GRUIDAE,Antigone,canadensis,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
93364011,22692684,Porzana carolina,ANIMALIA,CHORDATA,GRUIFORMES,AVES,RALLIDAE,Porzana,carolina,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
93390204,22693195,Numenius americanus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Numenius,americanus,,,,"Bechstein, 1812",Least Concern,,3.1,Decreasing,Global
93392247,22693231,Tringa melanoleuca,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Tringa,melanoleuca,,,,"(Gmelin, 1789)",Least Concern,,3.1,Stable,Global
93392879,22693235,Tringa flavipes,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Tringa,flavipes,,,,"(Gmelin, 1789)",Least Concern,,3.1,Decreasing,Global
93394194,22693277,Actitis macularius,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Actitis,macularius,,,,"Linnaeus, 1766",Least Concern,,3.1,Decreasing,Global
93395464,22693305,Tringa incana,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Tringa,incana,,,,"(Gmelin, 1789)",Least Concern,,3.1,Stable,Global
