internalTaxonId,scientificName,name,language,main
3745,Canis latrans,Coyote,English,true
103884879,Troglodytes pacificus,Pacific Wren,English,true
22696500,Falco rusticolus,Gyr Falcon,English,false
22696500,Falco rusticolus,Gyrfalcon,English,true
22699787,Contopus cooperi,Olive-sided Flycatcher,English,true
110847130,Mobula mobular,Spinetail Devilray,English,false
110847130,Mobula mobular,Baqra,Maltese,false
110847130,Mobula mobular,Golub Uhan,Croatian,false
110847130,Mobula mobular,Kleiner Teufelsroche,German,false
110847130,Mobula mobular,Kulaklifolya,Turkish,false
110847130,Mobula mobular,Manta,Spanish; Castilian,false
110847130,Mobula mobular,Mante,French,false
110847130,Mobula mobular,Mobula,Italian,false
110847130,Mobula mobular,شيطان البحر العملاق,Arabic,false
110847130,Mobula mobular,Giant Devilray,English,true
22720646,Loxia curvirostra,Common Crossbill,English,false
22720646,Loxia curvirostra,Crossbill,English,false
22720646,Loxia curvirostra,Red Crossbill,English,true
22721033,Calcarius lapponicus,Lapland Bunting,English,false
22721033,Calcarius lapponicus,Lapland Longspur,English,true
22728944,Loxia leucoptera,White-winged Crossbill,English,false
22728944,Loxia leucoptera,Two-barred Crossbill,English,true
22711026,Mimus polyglottos,Northern Mockingbird,English,true
103886826,Troglodytes aedon,House Wren,English,true
103727176,Pica hudsonia,Black-billed Magpie,English,true
22680157,Mareca penelope,European Wigeon,English,false
22680157,Mareca penelope,Wigeon,English,false
22680157,Mareca penelope,Canard siffleur,French,false
22680157,Mareca penelope,Eurasian Wigeon,English,true
22693764,Charadrius semipalmatus,Semipalmated Plover,English,true
22729867,Gallinago delicata,Wilson's Snipe,English,true
22706068,Corvus corax,Northern Raven,English,false
22706068,Corvus corax,Raven,English,false
22706068,Corvus corax,Common Raven,English,true
22679464,Lagopus muta,Ptarmigan,English,false
22679464,Lagopus muta,Rock Ptarmigan,English,true
91109639,Margaritifera falcata,Western Pearlshell,English,true
91149898,Anodonta nuttalliana,Winged Floater ,English,true
189487,Anodonta oregonensis,Oregon Floater,English,true
41687,Ursus americanus,Oso negro americano,Spanish; Castilian,false
41687,Ursus americanus,Ours noir d'Amérique,French,false
41687,Ursus americanus,American Black Bear,English,true
1869,Aplodontia rufa,Point Arena Mountain Beaver,English,false
1869,Aplodontia rufa,Sewellel,English,false
1869,Aplodontia rufa,Bergbiber,German,false
1869,Aplodontia rufa,Biberhörnchen,German,false
1869,Aplodontia rufa,Stummelschwanzhörnchen,German,false
1869,Aplodontia rufa,Mountain Beaver,English,true
13452,Microtus pennsylvanicus,Meadow Vole,English,false
